date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Jan%202024%2002:03:21%20GMT	https://www.banesconline.com/Mantis/WebSite/GESTION-DE-CLAVES4.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/GESTION-DE-CLAVES4.27.delayed	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:22	3196/3196	---M--	200	added ('OK')	text/html	etag:%22a12c33ba8a3d91:0%22	https://www.banesconline.com/Mantis/Website/CAU/Ayudas/sitio_seguro_banesconline.htm	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/Website/CAU/Ayudas/sitio_seguro_banesconline-2.html	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:23	3863/3863	---M--	200	added ('OK')	image/png	etag:%22f97e9945591d81:0%22	https://www.banesconline.com/Mantis/Website/Images/Sitio_Seguro.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/Website/Images/Sitio_Seguro-2.png	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Jan%202024%2002:03:22%20GMT	https://www.banesconline.com/Mantis/WebSite/Sitio_Seguro.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Sitio_Seguro.2a.delayed	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:24	37756/37756	---M-Z	200	added ('OK')	text/css	etag:%2207507474a8d91:0%22	https://www.banesconline.com/Mantis/WebSite/Includes/sweet/sweetalert2.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Includes/sweet/sweetalert2-2.css	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:24	80268/80268	---M-Z	200	added ('OK')	application/javascript	etag:%2209a3818ba6daf1:0%22	https://www.banesconline.com/Mantis/WebSite/Includes/sweet/sweetalert2.js	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Includes/sweet/sweetalert2-2.js	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:24	168/168	---M--	302	error ('Found')	text/html	date:Sun,%2021%20Jan%202024%2002:03:23%20GMT	https://www.banesconline.com/Mantis/WebSite/CAU/inicio/inicio.aspx?svc=mantis&Banco=01	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/CAU/inicio/inicio.2d6dee.delayed	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:25	24811/24811	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2002:03:23%20GMT	https://www.banesconline.com/Mantis/WebSite/CAU/inicio/LoginDNA.aspx?svc=mantis	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/CAU/inicio/LoginDNAbe24-2.html	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:25	13557/13557	---M--	200	added ('OK')	text/css	etag:%220ae7151bc68d11:0%22	https://www.banesconline.com/mantis/Website/CAU/Includes/eestilos.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Includes/eestilos.css	(from https://www.banesconline.com/mantis/Website/CAU/Ayudas/sitio_seguro_banesconline.htm)
22:03:26	4891/4891	---M-Z	200	added ('OK')	text/css	etag:%2280892bc557bd31:0%22	https://www.banesconline.com/mantis/Website/CAU/Imagenes/Banesco-iconos%20latin/StylesheetIcon.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/CAU/Imagenes/Banesco-iconos%20latin/StylesheetIcon.css	(from https://www.banesconline.com/mantis/Website/CAU/Ayudas/sitio_seguro_banesconline.htm)
